County,Precinct,Race,District,Party,Candidate ,Votes
CLOUD,Sibley Township,U.S. Senate,,Ind,Greg Orman,35
CLOUD,Solomon Township,U.S. Senate,,Ind,Greg Orman,36
CLOUD,South Lawrence,U.S. Senate,,Ind,Greg Orman,7
CLOUD,Starr Township,U.S. Senate,,Ind,Greg Orman,41
CLOUD,Summit Township,U.S. Senate,,Ind,Greg Orman,5
CLOUD,West Lincoln,U.S. Senate,,Ind,Greg Orman,20
CLOUD,West Meredith,U.S. Senate,,Ind,Greg Orman,4
CLOUD,Arion Township,U.S. Senate,,Lib,Randall Batson,2
CLOUD,Aurora Township,U.S. Senate,,Lib,Randall Batson,4
CLOUD,Buffalo Township,U.S. Senate,,Lib,Randall Batson,0
CLOUD,Center Township,U.S. Senate,,Lib,Randall Batson,3
CLOUD,Colfax Township,U.S. Senate,,Lib,Randall Batson,0
CLOUD,Concordia Ward 1,U.S. Senate,,Lib,Randall Batson,12
CLOUD,Concordia Ward 2 Precinct 1,U.S. Senate,,Lib,Randall Batson,17
CLOUD,Concordia Ward 2 Precinct 2,U.S. Senate,,Lib,Randall Batson,16
CLOUD,Concordia Ward 3,U.S. Senate,,Lib,Randall Batson,25
CLOUD,Concordia Ward 4,U.S. Senate,,Lib,Randall Batson,13
CLOUD,East Lincoln,U.S. Senate,,Lib,Randall Batson,7
CLOUD,East Meredith,U.S. Senate,,Lib,Randall Batson,0
CLOUD,Elk Township,U.S. Senate,,Lib,Randall Batson,15
CLOUD,Grant Township,U.S. Senate,,Lib,Randall Batson,8
CLOUD,Lyon Township,U.S. Senate,,Lib,Randall Batson,4
CLOUD,Nelson Township,U.S. Senate,,Lib,Randall Batson,0
CLOUD,North Lawrence,U.S. Senate,,Lib,Randall Batson,3
CLOUD,Oakland Township,U.S. Senate,,Lib,Randall Batson,0
CLOUD,Shirley Township,U.S. Senate,,Lib,Randall Batson,1
CLOUD,Sibley Township,U.S. Senate,,Lib,Randall Batson,2
CLOUD,Solomon Township,U.S. Senate,,Lib,Randall Batson,19
CLOUD,South Lawrence,U.S. Senate,,Lib,Randall Batson,1
CLOUD,Starr Township,U.S. Senate,,Lib,Randall Batson,10
CLOUD,Summit Township,U.S. Senate,,Lib,Randall Batson,2
CLOUD,West Lincoln,U.S. Senate,,Lib,Randall Batson,3
CLOUD,West Meredith,U.S. Senate,,Lib,Randall Batson,1
