county,precinct,office,district,party,candidate,votes,,,,,,,,,,,
Kingman,Liberty,U.S. House,4,IND,Miranda Allen,9,,,,,,,,,,,
Kingman,Ninnescah,U.S. House,4,IND,Miranda Allen,7,,,,,,,,,,,
Kingman,Peters,U.S. House,4,IND,Miranda Allen,8,,,,,,,,,,,
Kingman,Richland,U.S. House,4,IND,Miranda Allen,5,,,,,,,,,,,
Kingman,Rochester,U.S. House,4,IND,Miranda Allen,15,,,,,,,,,,,
Kingman,Rural,U.S. House,4,IND,Miranda Allen,15,,,,,,,,,,,
Kingman,Union,U.S. House,4,IND,Miranda Allen,3,,,,,,,,,,,
Kingman,Valley,U.S. House,4,IND,Miranda Allen,3,,,,,,,,,,,
Kingman,Vinita,U.S. House,4,IND,Miranda Allen,11,,,,,,,,,,,
Kingman,White,U.S. House,4,IND,Miranda Allen,9,,,,,,,,,,,
Kingman,White #3,U.S. House,4,IND,Miranda Allen,5,,,,,,,,,,,
Kingman,Kingman City 1st Ward,U.S. House,4,IND,Miranda Allen,15,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,U.S. House,4,IND,Miranda Allen,39,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,U.S. House,4,IND,Miranda Allen,11,,,,,,,,,,,
Kingman,Kingman City 4th Ward,U.S. House,4,IND,Miranda Allen,17,,,,,,,,,,,
Kingman,Totals,U.S. House,4,IND,Miranda Allen,295,,,,,,,,,,,
Kingman,Provisionals,U.S. House,4,IND,Miranda Allen,5,,,,,,,,,,,
Kingman,Grand Total,U.S. House,4,IND,Miranda Allen,300,,,,,,,,,,,
Kingman,Allen,State Senate,32,REP,Larry W. Alley,39,,,,,,,,,,,
Kingman,Belmont,State Senate,32,REP,Larry W. Alley,14,,,,,,,,,,,
Kingman,Bennett,State Senate,32,REP,Larry W. Alley,191,,,,,,,,,,,
Kingman,Canton,State Senate,32,REP,Larry W. Alley,38,,,,,,,,,,,
Kingman,Chikaskia,State Senate,32,REP,Larry W. Alley,33,,,,,,,,,,,
Kingman,Eagle,State Senate,32,REP,Larry W. Alley,38,,,,,,,,,,,
Kingman,Kingman,State Senate,32,REP,Larry W. Alley,33,,,,,,,,,,,
Kingman,Liberty,State Senate,32,REP,Larry W. Alley,36,,,,,,,,,,,
Kingman,Peters,State Senate,32,REP,Larry W. Alley,40,,,,,,,,,,,
Kingman,Richland,State Senate,32,REP,Larry W. Alley,41,,,,,,,,,,,
Kingman,Rochester,State Senate,32,REP,Larry W. Alley,55,,,,,,,,,,,
Kingman,Valley,State Senate,32,REP,Larry W. Alley,35,,,,,,,,,,,
Kingman,Totals,State Senate,32,REP,Larry W. Alley,593,,,,,,,,,,,
Kingman,Provisionals,State Senate,32,REP,Larry W. Alley,2,,,,,,,,,,,
Kingman,Grand Total,State Senate,32,REP,Larry W. Alley,595,,,,,,,,,,,
Kingman,Allen,State Senate,32,DEM,Don Shimkus,11,,,,,,,,,,,
Kingman,Belmont,State Senate,32,DEM,Don Shimkus,9,,,,,,,,,,,
Kingman,Bennett,State Senate,32,DEM,Don Shimkus,81,,,,,,,,,,,
Kingman,Canton,State Senate,32,DEM,Don Shimkus,5,,,,,,,,,,,
Kingman,Chikaskia,State Senate,32,DEM,Don Shimkus,13,,,,,,,,,,,
Kingman,Eagle,State Senate,32,DEM,Don Shimkus,9,,,,,,,,,,,
Kingman,Kingman,State Senate,32,DEM,Don Shimkus,10,,,,,,,,,,,
Kingman,Liberty,State Senate,32,DEM,Don Shimkus,13,,,,,,,,,,,
Kingman,Peters,State Senate,32,DEM,Don Shimkus,7,,,,,,,,,,,
Kingman,Richland,State Senate,32,DEM,Don Shimkus,6,,,,,,,,,,,
Kingman,Rochester,State Senate,32,DEM,Don Shimkus,24,,,,,,,,,,,
Kingman,Valley,State Senate,32,DEM,Don Shimkus,11,,,,,,,,,,,
Kingman,Totals,State Senate,32,DEM,Don Shimkus,199,,,,,,,,,,,
Kingman,Provisionals,State Senate,32,DEM,Don Shimkus,2,,,,,,,,,,,
Kingman,Grand Total,State Senate,32,DEM,Don Shimkus,201,,,,,,,,,,,
Kingman,Dale,State Senate,34,REP,Edward E. Berger,60,,,,,,,,,,,
Kingman,Dresden,State Senate,34,REP,Edward E. Berger,131,,,,,,,,,,,
Kingman,Eureka,State Senate,34,REP,Edward E. Berger,49,,,,,,,,,,,
Kingman,Evan,State Senate,34,REP,Edward E. Berger,218,,,,,,,,,,,
Kingman,Galesburg,State Senate,34,REP,Edward E. Berger,89,,,,,,,,,,,
Kingman,Hoosier,State Senate,34,REP,Edward E. Berger,63,,,,,,,,,,,
Kingman,Ninnescah,State Senate,34,REP,Edward E. Berger,128,,,,,,,,,,,
Kingman,Rural,State Senate,34,REP,Edward E. Berger,101,,,,,,,,,,,
Kingman,Union,State Senate,34,REP,Edward E. Berger,22,,,,,,,,,,,
Kingman,Vinita,State Senate,34,REP,Edward E. Berger,92,,,,,,,,,,,
Kingman,White,State Senate,34,REP,Edward E. Berger,76,,,,,,,,,,,
Kingman,White #3,State Senate,34,REP,Edward E. Berger,45,,,,,,,,,,,
Kingman,Kingman City 1st Ward,State Senate,34,REP,Edward E. Berger,248,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,State Senate,34,REP,Edward E. Berger,343,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,State Senate,34,REP,Edward E. Berger,127,,,,,,,,,,,
Kingman,Kingman City 4th Ward,State Senate,34,REP,Edward E. Berger,161,,,,,,,,,,,
Kingman,Totals,State Senate,34,REP,Edward E. Berger,1953,,,,,,,,,,,
Kingman,Provisionals,State Senate,34,REP,Edward E. Berger,18,,,,,,,,,,,
Kingman,Grand Total,State Senate,34,REP,Edward E. Berger,1971,,,,,,,,,,,
Kingman,Dale,State Senate,34,DEM,Homer L. Gilson,13,,,,,,,,,,,
Kingman,Dresden,State Senate,34,DEM,Homer L. Gilson,35,,,,,,,,,,,
Kingman,Eureka,State Senate,34,DEM,Homer L. Gilson,7,,,,,,,,,,,
Kingman,Evan,State Senate,34,DEM,Homer L. Gilson,34,,,,,,,,,,,
Kingman,Galesburg,State Senate,34,DEM,Homer L. Gilson,13,,,,,,,,,,,
Kingman,Hoosier,State Senate,34,DEM,Homer L. Gilson,6,,,,,,,,,,,
Kingman,Ninnescah,State Senate,34,DEM,Homer L. Gilson,13,,,,,,,,,,,
Kingman,Rural,State Senate,34,DEM,Homer L. Gilson,23,,,,,,,,,,,
Kingman,Union,State Senate,34,DEM,Homer L. Gilson,6,,,,,,,,,,,
Kingman,Vinita,State Senate,34,DEM,Homer L. Gilson,20,,,,,,,,,,,
Kingman,White,State Senate,34,DEM,Homer L. Gilson,15,,,,,,,,,,,
Kingman,White #3,State Senate,34,DEM,Homer L. Gilson,5,,,,,,,,,,,
Kingman,Kingman City 1st Ward,State Senate,34,DEM,Homer L. Gilson,55,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,State Senate,34,DEM,Homer L. Gilson,86,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,State Senate,34,DEM,Homer L. Gilson,28,,,,,,,,,,,
Kingman,Kingman City 4th Ward,State Senate,34,DEM,Homer L. Gilson,42,,,,,,,,,,,
Kingman,Totals,State Senate,34,DEM,Homer L. Gilson,401,,,,,,,,,,,
Kingman,Provisionals,State Senate,34,DEM,Homer L. Gilson,5,,,,,,,,,,,
Kingman,Grand Total,State Senate,34,DEM,Homer L. Gilson,406,,,,,,,,,,,
Kingman,Allen,State House,114,REP,Jack Thimesch,49,,,,,,,,,,,
Kingman,Belmont,State House,114,REP,Jack Thimesch,21,,,,,,,,,,,
Kingman,Bennett,State House,114,REP,Jack Thimesch,249,,,,,,,,,,,
Kingman,Canton,State House,114,REP,Jack Thimesch,43,,,,,,,,,,,
Kingman,Chikaskia,State House,114,REP,Jack Thimesch,47,,,,,,,,,,,
Kingman,Dale,State House,114,REP,Jack Thimesch,66,,,,,,,,,,,
Kingman,Dresden,State House,114,REP,Jack Thimesch,136,,,,,,,,,,,
Kingman,Eagle,State House,114,REP,Jack Thimesch,48,,,,,,,,,,,
Kingman,Eureka,State House,114,REP,Jack Thimesch,54,,,,,,,,,,,
Kingman,Evan,State House,114,REP,Jack Thimesch,239,,,,,,,,,,,
Kingman,Galesburg,State House,114,REP,Jack Thimesch,105,,,,,,,,,,,
Kingman,Hoosier,State House,114,REP,Jack Thimesch,57,,,,,,,,,,,
Kingman,Kingman,State House,114,REP,Jack Thimesch,36,,,,,,,,,,,
Kingman,Liberty,State House,114,REP,Jack Thimesch,39,,,,,,,,,,,
Kingman,Ninnescah,State House,114,REP,Jack Thimesch,125,,,,,,,,,,,
Kingman,Peters,State House,114,REP,Jack Thimesch,46,,,,,,,,,,,
Kingman,Richland,State House,114,REP,Jack Thimesch,40,,,,,,,,,,,
Kingman,Rochester,State House,114,REP,Jack Thimesch,69,,,,,,,,,,,
Kingman,Rural,State House,114,REP,Jack Thimesch,101,,,,,,,,,,,
Kingman,Union,State House,114,REP,Jack Thimesch,31,,,,,,,,,,,
Kingman,Valley,State House,114,REP,Jack Thimesch,46,,,,,,,,,,,
Kingman,Vinita,State House,114,REP,Jack Thimesch,100,,,,,,,,,,,
Kingman,White,State House,114,REP,Jack Thimesch,89,,,,,,,,,,,
Kingman,White #3,State House,114,REP,Jack Thimesch,50,,,,,,,,,,,
Kingman,Kingman City 1st Ward,State House,114,REP,Jack Thimesch,277,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,State House,114,REP,Jack Thimesch,381,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,State House,114,REP,Jack Thimesch,145,,,,,,,,,,,
Kingman,Kingman City 4th Ward,State House,114,REP,Jack Thimesch,198,,,,,,,,,,,
Kingman,Totals,State House,114,REP,Jack Thimesch,2887,,,,,,,,,,,
Kingman,Provisionals,State House,114,REP,Jack Thimesch,26,,,,,,,,,,,
Kingman,Grand Total,State House,114,REP,Jack Thimesch,2913,,,,,,,,,,,
